category,text
관람객,한시간 반짜리 제네시스 광고 + 조우진 연기 하드캐리
관람객,조우진 하드캐리 + 음악 되게 잘쓴듯
관람객,조우진은 연기 미쳤다.. 재밌음 심장 털리는줄 ㅋㅋ
관람객,음… 스토리보다는 조우진의 연기가 더 독보이는 영화였다.. 연기는 진짜 최고인듯… 스토리는 살짝 뻔하고 가족애로 약간씩 울컥하게 하는 정도…..
관람객,"이야기(서사)가 좀 더 있었으면 싶지만, 조우진ㆍ지창욱 연기는 진짜 압도적! 볼만한 오락영화!!!!"
관람객,약간의 아쉬움이 있긴 하지만 여러모로 쫄깃하고 긴장감 있게 봤구요. 뜻밖에 부산시내 누비는 차액션 부분이 가장 좋았어요 ㅎㅎㅎ
관람객,"연기도 좋았고 자동차 액션씬도 시원했다.스토리에 신파를 넣은 부분이 아쉽긴 했지만, 신과함께나 반도에 비하면 적절한 가족애.결말이나 스토리 전개가 영화 시작 5분만에 다 예상이갔다. 뻔한만큼 현실적이었다.사기맞고 소..."
관람객,재미있게 봤습니다. 조우진 배우의 재발견이랄까? 사실 영화를 자주 보는 편이 아니라 조우진 배우가 어떤 연기를 하는지 평소엔 잘 몰랐는데 연기 잘 하셔서 약간 개연성 떨어지는 부분도 연기로 커버됐다 생각해요~ 전 추...
관람객,조우진 연기 볼만함부산 놀러가고싶어지는 영화ㅠㅜㅋㅋ지창욱은 첨엔 목소리가 넘 감미로워서? 오잉 했는데 나중엔 끄덕이게되는 악역이랄까여튼 오랜만에 극장가서 보니까 꽤 재밌었음
관람객,긴박한 상황을 잘 묘사한듯 글고 무엇보다 배우들 연기가 좋았다
관람객,주연배우들의 연기는 정말 좋았으나 스토리와 연출이 다 말아먹은 작품... 애초에 조우진이 용의자로 몰리는 것도 이상하고 용의자 동생이라며 신원조회도 안 하고 딸을 납치해가게 냅두는 게 말이나 되나요 ㅋㅋㅋ 개연성 떨...
관람객,개재미없름 도망가세요
관람객,제네시스GV80성능테스트   (1)가속력테스트9.7점   (2)제동력테스트8.9점  (3)에어백테스트10점
관람객,기대이상으로 잘봤음 추격신 ㅇㅈ
관람객,배우들 연기 구멍없어서 좋았고개인적으론 부산 가고싶어지는 영화...
관람객,ㅋㅋㅋ돈 주고 제네시스 광고 볼 사람은 봐라
관람객,"조우진 연기는 늘 좋았지만, 주연 첫 도전 너무 완벽했다! 캐릭터도 찰떡이고 연기, 연출, 편집 합이 너무 좋았음!"
관람객,조우진 배우의 연기력은 좋았습니다.  하지만 긴장감을 유도했던 초반부와 다르게 중 후반부로 가면서 억지스러운 전개와 제대로 해결되지 않는 결말까지 아쉬운 부분 투성이였던 영화였습니다. 영화관에서 보기엔 돈이 아깝고 ...
관람객,"조우진, 이재인, 지창욱 연기 시너지 장난 아니였어요 오랜만에 영화관에서 제대로된 영화를 본 기분이네요"
관람객,와꾸샷 운전와꾸샷 했던말또하기와꾸샷억지감동와꾸샷 운전와꾸샷 했던말 또하기와꾸샷억지감동와꾸샷 폭발 끝
관람객,어디서 본듯한 스토리를 더욱 재미없게 각색해놓았네요.. 추격씬 15분 남짓 재밌고 나머지는 머.. GV80 홍보영화 잘봤슴다
관람객,오오 속도쾌감 오진다!!! 한국형 K-부산분노의질주!!!
관람객,근래 본 영화 중 최고네요! 여름에 딱 어울리는 스릴러 영화였습니다!
관람객,짜릿한 스릴과 극강의 긴장감을 느끼고 왔습니다
관람객,"완전 쫀쫀하게 봤네. 이런 영화 오랜만이다 ㅠ 지창욱 목소리 연기도 좋고, 조우진 쫀쫀한 연기가 하드캐리!"
관람객,조우진님 연기를 너무잘하셔서 몰입해서 봤어요 재밌었습니다~
관람객,"배우들 연기 머선129,,,조우진 배우 연기에 넋나가서 몰입해 봤습니당"
관람객,배우들 연기 죽여주네용ㅋㅋㅋ 원작이 따로 있는거로 알고 있는데 우리나라 정서에 맞게 잘 만들어진거 같아요!
관람객,스릴러라는 장르에 맞게 심장 쫄깃쫄깃하고 도심 속 질주 장면은 마음 속까지 시원하게 해준다ㅋㅋㅋ
관람객,잘봤습니다 조우진배우님 연기 넘 좋았구요!
관람객,완전 몰입해서 봄! 조우진 연기 대박이다..ㄷㄷ
관람객,잘만든 GV80 광고네요
관람객,"내용은 삼류 신파느낌을 너무 섞은데다가 연기 디렉팅은 도무지 이해가 안될 방향, 호흡으로 대사를 치고 답답함이 하늘을 찌름배우들이 연기를 못한다기보단 재료를 참 못쓴 디렉팅인듯함, 스토리도 억지스러우며 캐릭터들도 더..."
관람객,보는내내 답답합니다.정말 답답합니다.
관람객,킬링타임으로 괜찮음  ~
관람객,예고편은 아무것도 아니였던ㅋㅋㅋ 조우진 배우님 너무 좋음
관람객,뻔한 스토리에  지루해요...연기는 좋지만. 여운이없네여
관람객,진짜 잘 봤습니다 몰입감 좋고 재밌었어요
관람객,나름 긴장감도 있고 현실성있게 구성이 짜여진 것 같았어요. 재미있었습니다.
관람객,"배우들의 명연기, 편집, 그리고 배경음이 극의 멱살을 잡고 끌고 가는 느낌이다. 근데 원작에서도 그렇고 경찰들은 범인이 주인공 동생인 척 했을 때 왜 신원 확인을 안 하는 걸까. 개인적으로 원작(레트리뷰션: 응징의 ..."
관람객,아니 알바를 돌릴꺼면 영화 끝나고 달게하던가 무슨 9시부터 평점만점을 달고자빠졌냐 정신좀차려라 ㅡㅡ;;
관람객,차광고 너무 차광고 차광고 끝
관람객,엉성한 클리셰가 덕지 덕지 범벅! 둘의 시선에서 긴장감 유발을 기대했건만 가족이야기로 긴장감 급하락 역시 또 뻔한 한국영화
관람객,"전개가 빠르고 음악과 어우러진 스릴은 좋았지만, 스토리가 너무 답답했다. 내용도 뻔하고 연출도 진부했다. 새로움은 없지만 볼 만 했다."
관람객,제네시스 gv80광고 잘봤습니다
관람객,긴장감은 있지만 뻔한 결말과 답답한 스토리전개
관람객,코로나 때문에 오랜만에 본 영화인데 잼있게 잘봣습니다 그냥 내용이 많이 복잡하지가 않아서 좋았습니다
관람객,조우진님 연기 최고였어요 뿌린대로 거두니 정직하게 삽시다!
관람객,조우진 최고된다ㅠㅠㅠㅠ
관람객,밀폐된 공간 속 극강의 긴장감을 맛보고 왔네요 오랜만에 보는 한국 스릴러 영화였는데 너무 재밌게 봤습니다
관람객,바닷가 앞 포위되기 직전까지만 본 걸로 칠래. 진짜 너무 아쉽다
관람객,놀랄정도로 재미없어요 나중에 ocn에서 보세요
관람객,이거 gv80 광고영화 맞재??
관람객,몰입감이 쩔어요 내용은 그냥 다보고나면 엥? 하는데 카메라 무빙이나 연기들이 좋아요
관람객,조연과 주연이 종이 한 장 차이라는 걸 알게 된 영화. 상영시간을 꽉채워내는 연기력이 압도적이고 절절하다.
관람객,조우진 배우 첫 주연에 하드캐리
관람객,말도 안되는 개연성 마지막에 어떻게 그걸로 사냐 그렇게 할 꺼였으면 진작에 하던가 아니면 깔끔하게 죽었으면 몰랐다
